ID,letter,phrase,type,meaning
4758,E,escarapela,jgo.,"Tener naipes muy dispares en una partida. (pop.) hematoma, magulladura ano, arrugas del ano (ERDELV.), pliegues del mismo."
4759,E,estar en babia,pop.,Estar distraído y ajeno a lo que se trata.
4760,E,el horno no está para bollos,pop.,Momento inoportuno.
4761,E,encresparse,pop.,"Agitarse, enardecerse."
4762,E,escarapela borrada,pop.,Pederasta pasivo (ERDELV.).
4763,E,estar en banda,pop.,Carecer de orientación.
4764,E,el hospital,hipp.,"La Avenida Corrientes, entre Callao y el Obelisco."
4765,E,encufado/da,lunf.,"Arrestado, preso, encarcelado, detenido."
4766,E,escarbada,pop.,Averiguación.
4767,E,estar en blanco,drog.,No estar bajo los efectos de drogas.
4768,E,el llanto,pop.,Danza popular santiagueña.
4769,E,encufar,lunf.,"Apresar (LCV), detener, encarcelar, llevar preso, encerrar en prisión."
4770,E,escarbador/ora,pop.,"Persona muy preguntona, que le agrada enterarse de todo (LCV.) averiguador, interrogador."
4771,E,estar en cafúa,pop.,"Cumplir una condena judicial, estar detenido, encarcelado, preso (AD)."
4772,E,el mate del estribo,pop.,"Mate servido a una persona en el momento de retirarse de un lugar, o de montar a caballo para irse. La expresión es aplicable a numerosas circunstancias."
4773,E,enculado/da,pop.,"Disgustado, enojado."
4774,E,escarbar,pop.,"Averiguar (LCV.), preguntar (LCV), inquirir curiosamente lo que está oculto, para averiguarlo; indagar, interrogar."
4775,E,estar en cana,lunf.,Hallarse preso (LMD).
4776,E,el monumental,fútb.,Estadio del Club Atlético River Plate.
4777,E,encular,pop.,"Desagradar, disgustar, desazonar/ / indisponer."
4778,E,escarparo,pop.,Zapatero.
4779,E,estar en canasta,pop.,Igual que estar en Cafúa.
4780,E,el pájaro se conoce por la cagada,pop.,Según como se cometió un hecho puede inferirse a su autor.
4781,E,encularse,pop.,"Enojarse, disgustarse."
4782,E,escarpes,pop.,Escarpines (JAS.).
4783,E,estar en copas,pop.,Estar ebrio.
4784,E,el palito,pop.,Baile folklórico argentino del siglo pasado.
4785,E,encurdarse,lunf.,Embriagarse.
4786,E,escarpiante,lunf.,Calzado (JAP.).
4787,E,estar en el ácido,drog.,Drogado con LSD 25.
4788,E,el pan nuestro de cada día,pop.,"Lo que ocurre a diario, o frecuentemente."
4789,E,encurdelado/da,lunf.,"Embriagado (REV.P.), borracho (REV.P.)."
4790,E,escarpin,delinc.,Zapatillas que hacían los penados en la Cárcel de Ushuaia (LCV.) zapatillas silenciosas de los punguistas nocturnos (JAS.).
4791,E,estar en el ajo,pop.,"Estar al corriente, al tanto de un asunto tratado reservadamente."
4792,E,el pavo de la boda,pop.,"Persona que sufre las consecuencias de un hecho, siendo ajeno a él."
4793,E,encurdelar,lunf.,Embriagar (LCV.).
4794,E,escasani,pop.,"Epent. por escaso, insuficiente, poco abundante persona indigente."
4795,E,estar en el ambiente,pop.,Participar de algo que está fuera de la ley.
4796,E,el que no llora no mama,pop.,"Si no se solicita insistentemente lo que se desea obtener, ello no se logra."
4797,E,encurdelarse,lunf.,Embriagarse (LCV.).
4798,E,escaselli,pop.,Igual que Escasani.
4799,E,estar en el candelero,pop.,"Ser promocionado, estar en primer plano; figurar."
4800,E,el que pega primero pega dos veces,pop.,"Alusión al valor que tiene actuar con prontitud, adelantándose al oponente."
4801,E,endemoniado,pop.,"Endiablado, perverso (TG.), malo."
4802,E,escashato/ta,lunf.,Igual que Escachatolta.
4803,E,estar en el divague,drog.,Hablar incoherentemente de temas que no tienen relación con lo que se trata.
4804,E,el que quiera pescado que se moje el culo,pop.,"Alusión al hecho de que sólo con esfuerzos y sacrificios, es posible alcanzar una situación."
4805,E,endeudado/da,delinc.,Penado o procesado en libertad provisional perseguido por la justicia igual que Encajado (LCV.).
4806,E,eschifrunista,lunf.,"Ladrón de prostíbulos que sustraía dinero de las ropas de los clientes mientras los mismos efectuaban el acto sexual con la prostituta, desde otra habitación y a través de una abertura disimulada en la pared o puerta, próxima a la percha donde se hallaban las prendas."
4807,E,estar en el guiso,pop.,Complicarse en un asunto o negocio enredado o ilícito.
4808,E,"el que sabe sabe, y el que no sabe es el jefe",pop.,"Alusión a la designación de incapaces en cargos, especialmente públicos, en lugar de personas competentes."
4809,E,endeveras,pop.,Prot. de De veras (BRA.).
4810,E,esclava,pop.,"Criada, sirvienta, empleada doméstica."
4811,E,estar en el humo,pop.,Contrabandear cigarrillos estar informado.
4812,E,endevido,pop.,Cacogr. de individuo (BRA.).
4813,E,esclavacha,pop.,Igual que Esclava.
4814,E,estar en el ruido,pop.,Estar informado.
4815,E,el taladro,fútb.,Club Atlético Banfield.
4816,E,endilgar,pop.,"Encajar, endosar algo a otro."
4817,E,escoba,jgo.,Juego de naipes de ese nombre.
4818,E,estar en el yeite,pop.,"Estar complicado en un negocio ventajoso, pero ilícito."
4819,E,el último mono es el que se ahoga,,"Alusión al que en una empresa o lance en que los demás salen indemnes o airosos, sufre un daflo o fracaso a causa de imprevisión o tardanza (LS)."
4820,E,endomingado/da,pop.,"Bien vestido (LCV.), persona pobre que está vestida con la ropa que tiene reservada para los domingos y días de fiesta (TG), Emperejilado, ataviado con las mejores galas (JAS.)."
4821,E,escoba de quince,jgo.,Igual que Escoba.
4822,E,estar en galera,pop.,Estar preso.
4823,E,el último orejón del tarro,pop.,Persona que no es tomada en cuenta sino recién cuando no queda nadie a quien recurrir.
4824,E,endomingarse,pop.,"Adornarse mucho, vestirse con la mejor ropa, vestirse bien (LCV.)"
4825,E,escoba nueva barre bien,pop.,"Alusión al desempeño inicial eficiente y correcto de un funcionario, organismo o gobierno; empleado que por ser nuevo trabaja con eficiencia (FJS.)."
4826,E,estar en la calle,pop.,"Estar pobre, desprovisto de medios de subsistencia."
4827,E,el zorro pierde el pelo pero no las manas,pop.,"No siempre tener una mayor edad, atempera o disminuye la forma de proceder ."
4828,E,endosar,pop.,Transmitir una carga a otro.
4829,E,escobero,mus.,Guitarrista.
4830,E,estar en la cosa,pop.,"Estar en conocimiento detallado de algo, bien informado, generalmente de algo reservado."
4831,E,electric,drog.,"Drogadición placentera; lo más satisfactorio o mejor, referido a drogas."
4832,E,endulzante,pop.,Azúcar (AD).
4833,E,escolasada,jgo.,Juego de azar con naipes o dados.
4834,E,estar en la estratósfera,pop.,Igual que Estar en la luna.
4835,E,electricista,medic.,Médico psiquiátra.
4836,E,endurance,ingl. paciencia,Resistencia.
4837,E,escolasador/ora,jgo.,"Jugador (BBL.), jugador de cualquier juego de azar profesional"
4838,E,estar en la joda,pop.,Tener vinculación con medios delictuosos o inmorales.
4839,E,eléctrico,pop.,Tranvía (JAS.).
4840,E,enfardador/ora,pop.,Tacaño.
4841,E,escolaseada,jgo.,Igual que escolasada.
4842,E,estar en la liviana,delinc.,Cometer delitos leves y sin armas; substracciones simples.
4843,E,elefante blanco,pop.,Cosa muy rara cosa que cuesta mucho mantener.
4844,E,enfardar,pop.,"Ahorrar, juntar."
4845,E,escolaseador/ora,jgo.,Igual que Escolasadorlora.
4846,E,estar en la loma,pop.,"Estar bien económicamente, y en cualquier actividad."
4847,E,elemento,lunf.,Dinero (YAC.) mujer (pop.) Conjunto homogéneo de personas.
4848,E,enfarolado/da,pop.,Embriagado (LCV.) bien vestido.
4849,E,escolasear,jgo.,Igual que Escolasar.
4850,E,estar en la lona,pop.,"Estar en mala situación, económica o moralmente."
4851,E,elenco,pop.,Lista o nómina de las personas que forman una compañía teatral (TG.) conjunto de artistas que intervienen en una obra (fútb.) Cuadro de fútbol.
4852,E,enfarolamiento,pop.,Embriaguez (LCV) elegancia.
4853,E,escolasero/ra,jgo.,Igual que Escolasadorlora.
4854,E,estar en la luna,pop.,"Estar distraído, no darse cuenta de lo que ocurre; mentalmente lejos de lo que se trata; ausente, de mal humor (TG.)."
4855,E,elevador de granos,pop.,Individuo muy alto con la cara llena de granos.
4856,E,enfarolar,pop.,"Emborrachar (JAS.), embriagar (LCV.) ataviar."
4857,E,escolaso,jgo.,Juego de azar por dinero lugar de ese tipo de juego acción y efecto de escolasar.
4858,E,estar en la mala,pop.,Carecer de recursos o medios tener mala suerte.
4859,E,eliminarse,pop.,Suicidarse (BRA)
4860,E,enfarolarse,pop.,"Marearse (YAC.), embriagarse (LCV.) / / vestirse bien, emperifollarse."
4861,E,escolazador/ora,jgo.,"Profesional del delito que opera por medio de los juegos de azar, jugador (AD), jugador profesional en cuyo medio opera delictuosamente (REV.P.)."
4862,E,estar en la mano,drog.,Ser intermediario en la distribución de droga.
4863,E,elisabeth,pop.,Libra esterlina.
4864,E,enfermo,ins.,Detenido.
4865,E,escolazar,jgo.,Jugar dinero (AD).
4866,E,estar en la onda,pop.,"Estar bien informado comprender, interpretar estar de moda o a la moda."
4867,E,elite,fr. élite.,"Lo mejor, lo más selecto."
4868,E,enfermo de los fueyes,pop.,"Tísico, tuberculoso."
4869,E,escolazo,jgo.,"Instante en que se produce la trampa (LCV.), igual que Escolaso."
4870,E,estar en la palmera,pop.,"Carecer de dinero para vivir, estar pobre."
4871,E,embadurnado/da,pop.,Sobormado.
4872,E,enfocar,pop.,"Mirar, observar"
4873,E,escollo,pop.,"Peligro, riesgo."
4874,E,estar en la parra,pop.,Igual que Estar en la Palmera.
4875,E,embadurnador/ora,pop.,Sobornador.
4876,E,enfrascarse,pop.,Aplicarse con intención a una cosa.
4877,E,escombrero/ra,pop.,"Fachendoso, jactancioso, ostentoso, presumido."
4878,E,estar en la pesada,delinc.,"Cometer delitos graves (robos, asaltos a mano armada) (pop.) Integrar el sector más importante de un grupo o actividad."
4879,E,embadurnar,pop.,"Injuriar, ensuciar, manchar, vituperar sobornar."
4880,E,enfrenar,pop.,"Llamar al orden (LCV.), refrenar, dominar, corregir severament, reprender (LCV.) poner preso (JAS.)."
4881,E,escombro,pop.,"Aspaviento, boato, alarde, fanfarronería, jactancia, alharaca, ostentación."
4882,E,estar en la pomada,pop.,"Igual que Estar en la cosa, en conocimiento de algo reservado."
4883,E,embagayar,lunf.,"Empaquetar, envolver una cosa embrollar, enredar una situación hacer caer en una trampa imponer una reclusión injusta."
4884,E,enfriado/da,delinc.,"Asesinado, muerto."
4885,E,escomúnica,pop.,"Desgracia, mala suerte, infortunio, adversidad reiterada."
4886,E,estar en la rama,pop.,Igual que Estar en la palmera.
4887,E,embalado/da,pop.,"Apurado, con muchas ansias, decidido, entusiasmado disgustado, enojado, irritado."
4888,E,enfriar,delinc.,"Asesinar, matar."
4889,E,escoñado/da,lunf.,"Arruinado, dañado, roto, deshecho, rnaltrecho golpeado, zurrado enfermo, achacoso."
4890,E,estar en la sombra,pop.,Estar preso.
4891,E,embalar,pop.,"Apresurar, correr, tomar velocidad una persona, vehículo o animal emprender algo con firmeza entusiasmar."
4892,E,enfriar los ánimos,pop.,Apaciguar contemporizar.
4893,E,esconar,lunf.,"Estropear, arruinar, dañar, romper, deshacer golpear, zurrar herir."
4894,E,estar en la vereda de enfrente,pop.,Estar en posición contraria o antagónica.
4895,E,embalarse,pop.,"Disgustarse, encolerizarse, enfurecerse, irritarse, molestarse entusiasmarse, predisponerse apresurarse."
4896,E,enfundar,pop.,"Callarse la boca (LCV.), guardar silencio."
4897,E,esconder el bulto,pop.,Igual que escaparle al bulto.
4898,E,estar en la vía,pop.,Igual que Estar en la palmera.
4899,E,embale,pop.,"Acción y efecto de Embalar disgusto, enojo alta velocidad, presteza entusiasmo."
4900,E,enfurruñarse,pop.,Enfadarse.
4901,E,esconder la leche,pop.,"Disimular, ocultar información o la verdad, retacear."
4902,E,estar en las nubes,pop.,Igual que Estar en la luna.
4903,E,embalurdado/da,lunf.,"Engañado, timado, trampeado enredado, lleno de dificultades, embrollado."
4904,E,engamelar,lunf.,"Esposar, colocar las esposas o la cadena de seguridad, engrillar junta dinero."
4905,E,escopetero,jgo.,Individuo armado que vigila una partida de juego para seguridad de los participantes.
4906,E,estar en las ultimas,pop.,Estar enfermo de muerte; agonizando estar al final de algo.
4907,E,embalurdar,lunf.,"Engañar con ardid o astucia, embaucar, timar, trampear enredar, confundir, embrollar."
4908,E,engaña pichanga,pop.,"Añagaza, artificio para engañar, embaucamiento."
4909,E,escór,ingl. score.,(fútb.) Resultado del encuentro.
4910,E,estar en letra,abog.,"Hallarse un sumario o expediente en el respectivo casillero para cornsulta del abogado, en los tribunales."
4911,E,embanderado/da,pop.,"Unido a un grupo o tendencia, adepto, afiliado."
4912,E,engañabobos,pop.,Trampa embaucador
4913,E,escorcha,lunf.,"Cargoso, molesto, importuno."
4914,E,estar en naca,lunf.,Igual que Estar en cana.
4915,E,embanderarse,pop.,Tomar partido por algo.
4916,E,enganchado/da,pop.,Enamorado detenido (drog.) Adicto a las drogas.
4917,E,escorchado/da,lunf.,"Aburrido, molesto, cansado."
4918,E,estar en orsái,pop.,"Estar en situación dificultosa, quedar mal parado, ser sorprendido en una falta o desliz."
4919,E,embarcar,pop.,"Hacer que uno intervenga en una empresa difícil o arriesgada, meterse en honduras (JAS.)."
4920,E,enganchar,pop.,"Atar, atraer, compromete obligar con maña a otro a hacer algo."
4921,E,escorchador/ora,lunf.,"Fastidioso, cargoso, importuno, molesto."
4922,E,estar en pampa y la via,pop.,Igual que Estar en la palmera.
4923,E,embarcarse,pop.,"Aceptar lo que se propone (AD), meterse en honduras (JAS.), intervenir en un asunto dudoso."
4924,E,engancharse,pop.,Amancebarse compro meterse (ins.) Vincularse a alguna organización subversiva (lunf.) Conectarse a una línea telefónica ilícitamente.
4925,E,escorchar,lunf.,"Fastidiar, importunar, incomodar, molestar."
4926,E,estar en pedo,pop.,"Estar ebrio, estar beodo (VB)."
4927,E,embarrada,pop.,"Error, mal paso, falta grave en lo que se dice o hace (FJS)."
4928,E,enganifa,pop.,"Engaño artificioso con apariencia de utilidad, trampa."
4929,E,escorcharse,lunf.,"Molestarse, fastidiarse."
4930,E,estar en pelotas,pop.,"Desnudo, desprotegido, falto de medios o recursos no estar enterado de algo."
4931,E,embarrado/da,pop.,Funcionario que ha recibido dádivas o sobornos desprestigiado.
4932,E,engarfiar,pop.,Agarrar.
4933,E,escorchón/ona,lunf.,Aument. de Escorcha.
4934,E,estar en pepe,pop.,Igual que Estar en pedo.
4935,E,embarrar,pop.,"Arruinar o malograr algo, echar a perder algo (JAS.) cometer una estupidez (LCV.), desempeñarse de manera inoportuna (LCV.), arruinar por torpeza (JAS.) denigrar, vilipendiar, desprestigiar a una persona, manchar el crédito ajeno (FJS), calumniar a alguien (FJS)."
4936,E,engatusar,pop.,"Preparar el ánimo de una persona a favor de alguna cosa (LCV.), seducir (LCV), engañar (LCV.), trampear, ganar la voluntad de uno con halagos, para conseguir alguna cosa galantear a una mujer."
4937,E,escote,pop.,Pago por persona (JAS.).
4938,E,estar en punga,delinc.,Encontrarse en condiciones de ser robado con facilidad (AD).
4939,E,embarrarla,pop.,"Complicar algo, echarlo a perder, hacer fracasar un asunto."
4940,E,engayolado/da,pop.,"Detenido (LCV.), preso (JAS.), encarcelado."
4941,E,escrachado/da,lunf.,"Destrozado, maltrecho, en mal estado con el rostro desfigurado a golpes retratado (LCV.), fotografiado prontuariado por la Policía (delinc.) Estafado con el cuento del billete premiado mediante un extracto falso, en el que el billete figura premiado."
4942,E,estar en trabajo,delinc.,"Hallarse en condiciones de ser robado (AD), una persona o cosa."
4943,E,embarrarse,pop.,"Comprometerse por las mismas razones o por obra de la fatalidad (LCV.), complicarse en un asunto dudoso dejarse sobornar perder prestigio por una mala acción."
4944,E,engayolador/ora,lunf.,"El pesquisa o policía conocedor de los ladrones y que por tal causa los apresa constantemente (LCV.) mujer atractiva por su sensualidad, hermosa y provocativa."
4945,E,escrachador/ora,lunf.,Fotógrafo (AD).
4946,E,estar en un brete,pop.,Estar en apuros.
4947,E,embarullar,pop.,"Hacer las cosas atropelladamente, sin orden ni concierto, confundir unas con otras."
4948,E,engayolamiento,lunf.,"En prisión (LCV.), aprisionamiento, detención."
4949,E,escrachar,lunf.,"Romper la cara a trompadas (JAS.), amoratar el rostro a golpes destrozar, destruir fotografiar, retratar escribir (AD), anotar (AD) (delinc.) Prontuariar."
4950,E,estar en un guay,pop.,"Estar mezclado en un asunto o negocio dificil, embrollo o peligro."
4951,E,emberrechinarse,pop.,Igual que Emberrincharse.
4952,E,engayolar,lunf.,"Aprisionar (LCV.), apresar, detener (Rev.P.), encarcelar, poner preso (YAC.)."
4953,E,escrachero/ra,lunf.,Fotógrafo (LCV.).
4954,E,estar en yanta,pop.,"Carecer de dinero y trabajo, carecer de recursos."
4955,E,emberretinado/da,lunf.,"Entusiasmado, encaprichado enamorado en grado sumo escondido."
4956,E,engemelado/da,lunf.,"Amancebado encadenado, engrillado (LCV.)."
4957,E,escracho,delinc.,"Estafa que se comete presentando a un otario un billete de la lotería y un extracto en que aquél aparece premiado con la suerte mayor (BBL), estafa o cuento del billete premiado (lunf.) Cara (LCV.), rostro (AD) retrato, fotografía de una persona (AD), especialmente de su cara carta (AD) mujer muy fea (TG.) esperpento."
4958,E,estar engualichado,pop.,"Estar hechizado, embrujado."
4959,E,emberretinamiento,lunf.,"Encaprichamiento, afición desmedida por una persona o cosa, manía por algo ocultamiento."
4960,E,engemelador,lunf.,Herrero (LCV.).
4961,E,escracho a la gurda,,Retrato de mujer hermosa (ANON. 3).
4962,E,estar entre san juan y mendoza,pop.,Estar ebrio.
4963,E,emberretinar,lunf.,"Encaprichar guardar (LCV.), esconder algo (LCV), ocultar."
4964,E,engemelar,lunf.,"Engrillar (LCV), encadenar, esposar."
4965,E,escracho de tigre,lunf.,Persona hoyosa de viruelas (L.CV.).
4966,E,estar escabiado/da,pop.,Hallarse ebrio (AD).
4967,E,emberretinarse,lunf.,"Encapricharse, entusiasmarse enamorarse apasionadamente ocultarse (LCV.) introducirse (LCV.)."
4968,E,engemelarse,lunf.,Amancebarse.
4969,E,escracho fulero,lunf.,Rostro feo (AD.).
4970,E,estar estufo/fa,pop.,"Estar harto, aburrido, fastidiado."
4971,E,emberrincharse,pop.,Enfadarse o encolerizarse en demasía. Generalmente es acción de niños.
4972,E,engolado/da,pop.,"Presuntuoso, orgulloso."
4973,E,escracho volante,lunf.,Careta (AD).
4974,E,estar fallo,pop.,"Estar privado de algo, carente."
4975,E,embetunado/da,lunf.,"Cohechado, sobornado, funcionario que ha recibido dádivas, empleado que ha recibido dinero de los chorros (LCV)."
4976,E,engolamiento,pop.,"Presunción, orgullo."
4977,E,escracihería,lunf.,"Casa de fotografía (REVP.), taller fotográfico (AD.)  fotografía (LCV)."
4978,E,estar fenómeno,pop.,Sentirse muy bien.
4979,E,embetunar,lunf.,"Facilitar dinero o regalarlo para evitar una prisión o detención (LCV.), sobornar."
4980,E,engolosinarse,pop.,"Aficionarse, acostumbrarse a una cosa."
4981,E,escrazado/da,lunf.,Igual que Escrachado/da.
4982,E,estar forfái,pop.,"Carente o falto de algo, especialmente de dinero fuera de la ley (turf.) Caballo inscripto en una carrera pero retirado antes de ser realizada la misma."
4983,E,embichado/da,pop.,Agusanado embrujado.
4984,E,engomar,delinc.,Cerrar una puerta con llave.
4985,E,escriba,pop.,"Redactor, cronista, periodista."
4986,E,estar fuera de foco,pop.,Desubicado.
4987,E,embichadura,pop.,"Daño, mal, o embrujamiento hecho pon algún bicho o alimaña (FJS)."
4988,E,engominado,pop.,Peinado con gomina.
4989,E,escribido,inc.,Escrito.
4990,E,estar fule,pop.,"Estar disgustado (LCV.), enojado."
4991,E,embichar,pop.,Hacer brujerías utilizando ciertos animales o bichos (FJS).
4992,E,engominarse,pop.,Ponerse gomina para peinarse.
4993,E,escribir una carta,lunf.,Defecar.
4994,E,estar fundido,delinc,"Hallarse bajo el peso de una larga condena de prisión (AD).(pop.) Estar agotado, sin fuerzas carecer de recursos o medios para subsistir por haberlos agotado a raíz de haber ido mal las cosas."
4995,E,emblecar,pop.,"Denigrar, ensuciar."
4996,E,engordar,pop.,"Dar facilidades o ventajas hacerse rico (polic. y delinc.) No detener la Policía a un delincuente, para seguir reuniendo pruebas contra él."
4997,E,escrito,lunf.,Apoc. de escritorio (LCV.).
4998,E,estar gruesa,pop.,Estar embarazada (V.B.).
4999,E,embocar,pop.,"Acertar, tener éxito."
5000,E,engordar la tierra,pop.,Defecar (VB.).
5001,E,escruchante,deliric.,"Lunfardo que practica el escrucho (BBL), Igual que scruchante o escrushante (REV.P.). Ladrón que actúa con violencia en puertas, cerraduras y cajas de hierro."
5002,E,estar hasta el goyete,pop.,Estar cansado y harto de sufrir.
5003,E,embolar,pop.,Complicar una cosa.
5004,E,engrampar,pop.,"Encadenar (LCV.), engrillar, esposar comprometer atraer."
5005,E,escruchar,delinc.,Robar empleando violencia en puertas o ventanas de un domicilio o negocio; violentar muebles con el mismo objetivo; robo con efracción (YAC.).
5006,E,estar hasta los pelos,pop.,Estar harto o cansado de alguna persona o asunto no aguantar más una situación.
5007,E,embolsicar,pop.,Ahorrar meter en el bolsillo.
5008,E,engramparse,pop.,Igual que Engemelarse.
5009,E,escruche,delinc.,Acción y efecto de Escruchar (YAC.).
5010,E,estar hecho,pop.,Estar en estado de embriaguez (AD) haber efectuado una buena ganancia estar conforme.
5011,E,emborrachamiento,pop.,Embriaguez.
5012,E,engranado/da,pop.,"Aplicado con entusiasmo a una tarea enojado, irritado, ofendido."
5013,E,escrucho,delinc.,Apoc. de Escruchante. Cierta estafaa (BBL); robo en que el ladrón entra en una casa o edificio para hacer el trabajo (BBL.); sustracción en la que el ladrón se introduce en las casas (LMD.); robo con violencia generalmente en ausencia de los moradores.
5014,E,estar hecho polvo,pop.,"Estar sumamente abatido por adversidades, preocupaciones o falta de salud, desanimado."
5015,E,emborronar papel,pop.,Escribir cosas inútiles.
5016,E,engranar,pop.,"Adecuar a una situación o tarea enojar, irritar, ofender darse cuenta con retraso de algo."
5017,E,escrushante,delinc.,"ladrón especializado en el escrusho (AD), ladrón cuya especialidad es abrir puertas con o sin violencia."
5018,E,estar hecho torta,pop.,"Agotado, sin fuerzas."
5019,E,embotellamiento,pop.,Obstrucción de vehículos en el tránsito.
5020,E,engranarse,pop.,"Enojarse, enfadarse, irritarse."
5021,E,escrushar,delinc.,"Abrir, fracturar una puerta o un mueble, forzar violar la cerradura de un mueble o puerta (REV.P.). Igual que Escruchar."
5022,E,estar hecho un harnero,pop.,Tener muchas heridas.
5023,E,embramado/da,pop.,Enamorado.
5024,E,engrane,pop.,Acción y efecto de Engranar.
5025,E,escrushe,delinc.,Igual que Escruche.
5026,E,estar hecho un tronco,pop.,Estar profundamente dormido.
5027,E,embramar,pop.,Enamorar.
5028,E,engrasado,pop.,Sobornado.
5029,E,escrushiante,delinc.,"Igual que escruchante, profesional del delito que por su habilidad y preparación en el oficio, ocupa uno de los grados superiores en el escalafón lunfardo (LCV.)."
5030,E,estar hecho una uva,pop.,Embriagado.
5031,E,embretado,pop.,"Apresado, encerrado."
5032,E,engrasar,pop.,Sobornar.
5033,E,escrushiar,delinc.,Igual que escrushar (REV.P.)
5034,E,estar hundido,pop.,Igual que Estar fundido.
5035,E,embretar,pop.,Colocar a otro en aprietos; en situación difícil.
5036,E,engrase,pop.,"Soborno,"
5037,E,escrushie,delinc.,"Igual que escruche, ""modus operandi"" de los ladrones conocidos por escrushiantes (LCV.), en general todo trabajo u operación en la cual se violan cerraduras (LCV.)."
5038,E,estar lánguido,pop.,No tener ni un cobre (LCV.).
5039,E,embrocado,lunf.,"Custodiado visto (AD), conocido (AD.), observado (YAC.)."
5040,E,engrilar,lunf.,Igual que Engrillar.
5041,E,escrusho,delinc.,"Igual que escrucho, robo efectuado dentro de las casas de día o de noche, pero en ausencia de los moradores por hallarse éstos en el campo, el teatro, la iglesia, la visita, etc. No debe confundirse con la punga de madrugada (AD), robo con violencia en las cosas (REV.P.)."
5042,E,estar limpio,delinc.,Malviviente que carece de antecedentes en su prontuario y no es conocido de la Policía (pop.) Carente de dinero.
5043,E,embrocador,lunf.,"El que vigila (LCV.), delincuente que vigila el lugar o las inmediaciones para dar la alarma a sus cómplices que cometen el delito, espía."
5044,E,engrillado,pop.,"Sujeto con grillos, encadenado, apresado atado por lazos amorosos."
5045,E,escuadrón,lunf.,"Saco (AD) (pop.) Denominación popular del Escuadrón de Seguridad de Caballería, después Guardia de Seguridad de Caballería y desde 1933, Cuerpo de Policía Montada de la Policía Federal Argentina."
5046,E,estar listo,pop.,Pasar por mala situación estar enfermo de muerte no tener esperanzas de algo expresión con la que se manifiesta la convicción de que saldrán fallidos los propósitos o esperanzas de una persona.
5047,E,embrocantes,lunf.,"Anteojos (AD), largavistas, lentes."
5048,E,engrillar,pop.,"Poner grillos, cadenas, apresar enamorar, seducir, crear lazos amorosos."
5049,E,escucha,pop.,Soplón.
5050,E,estar llena,pop.,Estar embarazada una mujer (VB).
5051,E,embrocar,lunf.,"Mirar filiando (C. de la P.) mirar (BBL.), vigilar (LCV.), acechar, observar, espiar, conocer USA), advertir algo con sólo mirar, mirar fijamente, fijarse en una persona (JAS.) poner preso (YAC.)."
5052,E,engrisar,lunf.,Meter una cosa dentro de otra o introducirla en otro lugar.
5053,E,escudo,pop.,"Actividad lícita, con la que se oculta o disimula una ilegal."
5054,E,estar lleno de teyebis,pop.,Ser muy rico.
5055,E,embrollo,delinc.,Trabajo o robo (JG.).
5056,E,engrivarse,pop.,Enamorarse.
5057,E,escupida,pop.,"Salivazo acusación, confesión, delación, denuncia fuga, huída, disparada, rapidez, estampida."
5058,E,estar machimbrado/da,pop.,Vivir en concubinato.
5059,E,embrollo (2),pop.,Situación embarazosa en la que se halla una persona.
5060,E,engriyado/da,pop.,Igual a Engrilladolda.
5061,E,escupidera,pop.,"Delator, soplón, denunciante en forma secreta de un hecho bacin (TG), orinal (VB), taza de noche."
5062,E,estar mal de la osamenta,pop.,Estar enfermo.
5063,E,embromado/da,pop.,"Fastidiado, molesto perjudicado enfermo persona que pasa por una situación difícil o un mal momento económico."
5064,E,engriyar,pop.,Igual que Engrillar.
5065,E,escupir,pop.,"Confesar lo que se sabe, declarar (LCV.), denunciar, acusar, delatar, alcahuetear, decir algo (LCV.) pagar disparar un arma de fuego."
5066,E,estar mal de la piojosa,pop.,Estar loco.
5067,E,embromar,pop.,"Importunar (TG), molestar (TG.), fastidiar perjudicar, ocasionar un daño moral o material."
5068,E,engrupe,lunf.,Acción y efecto de engrupir.
5069,E,escupir al cielo,pop.,Hacer o decir cosas que pueden volverse contra uno.
5070,E,estar mal del mate,pop.,Igual que estar mal de la piojosa.
5071,E,embromarse,pop.,"Molestarse, fastidiarse, perjudicarse, sufrir un daño moral o material."
5072,E,engrupido/da,lunf.,"Engañado, timado consentido, engreído, ensoberbecido, envanecido, sobreestimado, fatuo, orgulloso, pretencioso, soberbio."
5073,E,escupir el asado,pop.,"Malograr, frustrar o estropear propuestas, planes, o intenciones de otro."
5074,E,estar mambado,drog.,Estar drogado.
5075,E,embroncado/da,pop.,"Encolerizado, enojado, disgustado."
5076,E,engrupidor/ora,lunf.,"Embaucador, engañador (YAC.), mentiroso (LCV.), falaz (delinc.) Profesional cuentero del tío (JAS.)."
5077,E,escupitajo,pop.,"Saliva, flema o sangre escupida."
5078,E,estar mas cerca del arpa que de la guitarra,pop.,"Estar en agonía, estar enfermo de muerte."
5079,E,embroncar,pop.,"Enojar, disgustar."
5080,E,engrupime que me gusta,lunf.,"Expresión alusiva a que no se cree lo que se nos dice, pero lo aceptamos."
5081,E,escurrirse,pop.,Escaparse.
5082,E,estar meado por los perros,pop.,Andar con mala suerte tener dificultades o problemas con frecuencia.
5083,E,embroncarse,pop.,"Disgustarse, fastidiarse, enojarse, enfadarse."
5084,E,engrupimiento,lunf.,"Engreimiento, acción y efecto de engrupir, engaño (YAC.)."
5085,E,ese es otro cantar,pop.,"Comparación de una situación con otra, por ser distintas."
