ID,letter,phrase,type,meaning
73,A,¡adios mi plata!,pop.,Expresión de contrariedad aceptación de un fracaso o demora.
74,A,acuanautas,arm.,Personal de la Prefectura Naval Argentina.
75,A,amarrete/a,pop.,"Mezquino (LCV), avaro (LCV), ahorrativo, tacaño, duro para largar la menega (JAS)."
76,A,ardilla,pop.,"Persona movediza, muy lista."
77,A,¡agarrate catalina que vamos a galopar!,pop.,Anuncio de que han de producirse graves dificultades y que se debe estar preparado para afrontarlas.
78,A,acuitado/da,pop.,"Apenado, afligido."
79,A,amarretear,pop.,Igual que Amarretar.
80,A,area chica,futb.,"Zona menor en el área penal, donde no puede ser cargado el arquero."
81,A,¡agarrate de aca!,pop.,Expresión grosera acompañada del gesto de tomarse la zona testicular por encima del pantalón.
82,A,acuitar,pop.,"Apenar, afligir."
83,A,amarretismo,pop.,"Mezquindad, codicia, cicatería, tacañería, avaricia."
84,A,area grande,futb.,Zona donde se castiga la infracción con tíro penal.
85,A,¡ah macho!,pop.,Expresión que se dirige a un individuo de valor o coraje (LCV).
86,A,acunado,lunf.,Igual que Acuñado.
87,A,amarro,pop.,Apoc. de Amarroto.
88,A,area penal,futb.,Igual que Area grande.
89,A,¡ah malhaya!,pop.,¡Ojalá!
90,A,acuñado,pop.,"Favorecido (LCV), protegido (LCV), amparado, apoyado, recomendado."
91,A,amarrocador/ra,pop.,Igual que Amarroto.
92,A,arfallatas,lunf.,Alpargatas (JAS).
93,A,¡ahi esta la madre del borrego!,pop.,Expresión alusiva a lo que explica lo que no era comprendido.
94,A,acuñador/ra,lunf.,Que protege (JFP).
95,A,amarrocar,pop.,"Ahorrar, juntar, guardar, atesorar, juntar dinero esconder (JFP) mezquinar (JFP)."
96,A,arfayatas,lunf.,"Alpargatas (LCV), calzado de lona con suela de soga o esparto."
97,A,¡ahijuna!,lunf. y pop.,"¡Ah hijo de una..! interjección de enojo (ANON.2), de admiración, disgusto, sorpresa o insulto."
98,A,acuñar,lunf.,"Favorecer (LCV), proteger (LCV), recomendar (LCV), apoyar (JFP), tomar la defensa de un preso pobrón (JFP)."
99,A,amarroto/ta,pop.,"Avaro, cicatero, codicioso, mezquino, tacaño, deformación de amarrete (G. y P.)"
100,A,argel,pop.,"Aburrido desabrido, soso antipático, fastidioso, fastidiado, molesto consigo mismo persona que no cae bien."
101,A,¡ahora o aqui te quiero ver escopeta!,pop.,Expresión de anuncio de un peligro y de expectativa acerca de cómo será el mismo afrontado.
102,A,acusete,pop.,"Acusador, soplón."
103,A,amasar la pelota,futb.,"Retener la pelota bajo el pie, haciéndola rodar hacia adelante y hacia atrás."
104,A,argelar,pop.,"Aburrir, fastidiar dañar."
105,A,¡aijuna!,,Igual que ¡Ahijuná!
106,A,adagio,ítal.,Ritmo musical muy lento.
107,A,amasarse,drog.,Traumatizarse en el acto de inyectarse drogas.
108,A,argelarse,pop.,"Avergonzarse, sentirse culpable de un fracaso aburrirse, fastidiarse."
109,A,¡aire! ¡aire!,pop.,"¡AFUERA!, ¡AFUERA!, ¡fuera!, ¡fuera!."
110,A,adherente,ins.,Individuo vinculado a una organización subversiva o terrorista.
111,A,amasijada,lunf.,Igual que Amasijo (LCV).
112,A,argolla,lunf.,"Anillo (LCV) vagina (LCV), vulva."
113,A,¡ajah!,pop.,"Sí, bueno, de acuerdo, conforme."
114,A,adiccion,drog.,Hábito de consumo de drogas toxicomanígenas.
115,A,amasijado/da,lunf.,". Golpeado (LCV), apaleado (LCV) magullado, herido a golpes, muerto a golpes, asesinado aproblemado cansado, extenuado."
116,A,argot,,Jerga del hampa en Francia.
117,A,¡ajo!,mat._inf.,Interjección con la que se estimula a los niños para que empiecen a hablar.
118,A,adicion,pop.,Cuenta del restorán.
119,A,amasijador/ra,lunf.,"Persona pendenciera y peleadora (LCV), camorrista, aficionado a las riñas."
120,A,argoya,lunf.,Igual que Argolla.
121,A,¡al colon! ¡al colon!,pop.,Expresión irónica dirigida a artistas que se sobrevaloran a sí mismos.
122,A,adicto,drog.,Aficionado a las drogas toxicomanígenas.
123,A,amasijamiento,lunf.,Igual que Amasijo (LCV).
