ID,NOMBRE,NOMBRE2,LOCALIDAD,DEPARTAMENTO,JURISDICCIÓN,CUE ANEXO,DOMICILIO
2629,GENERAL MANUEL BELGRANO,GENERAL MANUEL BELGRANO,EL SAUCE,MINAS,CÓRDOBA,140369800,CALLE PUBLICA S/N°   EL SAUCE P/CIENAGA DEL CORO
2649,GRAL. MANUEL BELGRANO,GENERAL MANUEL BELGRANO,EL QUEBRACHO,CALAMUCHITA,CÓRDOBA,140023400,CALLE PUBLICA S/Nº   EL QUEBRACHO P/EMBALSE
2630,GENERAL MARTIN GUEMES,GENERAL MARTIN GUEMES,LA PALESTINA,GENERAL SAN MARTIN,CÓRDOBA,140018600,CALLE PUBLICA S/N°   COLONIA LA PALESTINA
2631,GENERAL MARTIN MIGUEL DE GUEMES,GENERAL MARTIN MIGUEL DE GUEMES,CAMPO GIODA,TERCERO ARRIBA,CÓRDOBA,140210600,CALLE PUBLICA S/N   CAMPO GIODA P/RIO TERCERO
2650,GRAL. MARTIN MIGUEL DE GUEMES,GENERAL MARTIN MIGUEL DE GUEMES,CAMPO LA SIRENA,RIO SEGUNDO,CÓRDOBA,140026600,CALLE PUBLICA   CAMPO LA SIRENA P/POZO DEL MOLLE
2632,GENERAL PAZ,GENERAL PAZ,LA CAÑADA,RIO SECO,CÓRDOBA,140118600,CALLE PUBLICA S/N    LA CAÑADA
2633,GENERAL RAMON DEHEZA,GENERAL RAMON DEHEZA,SANTA MARIA,TOTORAL,CÓRDOBA,140380200,CALLE PUBLICA S/N   SANTA MARIA - RUTA 17
2634,GENERAL SAN MARTIN,GENERAL SAN MARTIN,HERNANDO,TERCERO ARRIBA,CÓRDOBA,140041100,EL LIBERTADOR 47 SAN MARTIN HERNANDO
2635,GENERAL SAN MARTIN,GENERAL SAN MARTIN,COLONIA NORTE,RIO SEGUNDO,CÓRDOBA,140082800,CALLE PUBLICA S/N   COLONIA NORTE P/RIO SEGUNDO
2636,GENERAL SAN MARTIN,GENERAL SAN MARTIN,EL FORTIN,SAN JUSTO,CÓRDOBA,140099000,CALLE PUBLICA   COLONIA EL FORTIN
2637,GENERAL SAN MARTIN,GENERAL SAN MARTIN,COLONIA LA TAPERITA,SAN JUSTO,CÓRDOBA,140100100,CALLE PUBLICA S/N    COLONIA LA TAPERITA P/ SATURNINO M. LASPIUR
2638,GENERAL SAN MARTIN,GENERAL SAN MARTIN,ONCATIVO,RIO SEGUNDO,CÓRDOBA,140211400,RIVADAVIA 549 CENTRO ONCATIVO
2639,GOBERNADOR AMADEO SABATTINI,GOBERNADOR AMADEO SABATTINI,COLONIA EUGENIA,SAN JUSTO,CÓRDOBA,140028700,CALLE PUBLICA S/N    COLONIA EUGENIA P/COLONIA MARINA
2640,GOBERNADOR BRIGADIER JUAN IGNACIO DE SAN MARTIN,GOBERNADOR BRIGADIER JUAN IGNACIO DE SAN MARTIN,CORDOBA,CAPITAL,CÓRDOBA,140125100,PATAGONES 3200 JOSE HERNANDEZ
2643,GOBERNADOR DR. AMADEO SABATTINI,GOBERNADOR DOCTOR AMADEO SABATTINI,CORDOBA,CAPITAL,CÓRDOBA,140015800,DIEGO PACHECO 4980 SAN FELIPE B° SAN FELIPE
2641,GOBERNADOR DOCTOR ARTURO ZANICHELLI,GOBERNADOR DOCTOR ARTURO ZANICHELLI,CORDOBA,CAPITAL,CÓRDOBA,140001600,AV. ALFONSINA STORNI 1300 PARQUE LICEO 3RA. SECCION B° PARQUE LICEO 3RA. SECCION
2642,GOBERNADOR DOCTOR SANTIAGO DEL CASTILLO,GOBERNADOR DOCTOR SANTIAGO DEL CASTILLO,CORDOBA,CAPITAL,CÓRDOBA,140048800,OCTAVIANO NAVARRO 2750 ROSEDAL ANEXO
2644,GOBERNADOR JOSE ANTONIO CEBALLOS,GOBERNADOR JOSE ANTONIO CEBALLOS,CORDOBA,CAPITAL,CÓRDOBA,140243900,AVDA. VUCETICH S/N  ITUZAINGO ANEXO B° ITUZAINGO ANEXO
2645,GOBERNADOR JUSTO PAEZ MOLINA,GOBERNADOR JUSTO PAEZ MOLINA,CORDOBA,CAPITAL,CÓRDOBA,140308000,QUEBRACHO HERRADO ESQ. YAVI  LAS PALMAS B° LAS PALMAS
2651,GRANADERO MARQUEZ,GRANADERO MARQUEZ,LOS EUCALIPTOS,RIO SECO,CÓRDOBA,140327700,CALLE PUBLICA S/N   LOS EUCALIPTOS
2652,GRANADERO MARQUEZ,GRANADERO MARQUEZ,EL DURAZNO,TULUMBA,CÓRDOBA,140369100,CALLE PUBLICA   EL DURAZNO P/SANTA CRUZ
2653,GREGORIA MATORRAS,GREGORIA MATORRAS,SANTA CATALINA,TOTORAL,CÓRDOBA,140065900,CALLE PUBLICA   AL LADO DE LA ESTANCIA JESUITA SANTA CATALINA
2654,GREGORIA MATORRAS,GREGORIA MATORRAS,LA RIBERA,RIO SEGUNDO,CÓRDOBA,140082700,CALLE PUBLICA S/N   LA RIBERA
